,Age,SibSp,Parch,Pclass_2,Pclass_3,Embarked_Q,Embarked_S,Sex_male,Survived
0,34.5,0,0,0,1,1,0,1,0
1,47,1,0,0,1,0,1,0,0
2,62,0,0,1,0,1,0,1,0
3,27,0,0,0,1,0,1,1,1
4,22,1,1,0,1,0,1,0,0
5,14,0,0,0,1,0,1,1,0
6,30,0,0,0,1,1,0,0,1
7,26,1,1,1,0,0,1,1,0
8,18,0,0,0,1,0,0,0,0
9,21,2,0,0,1,0,1,1,0
10,28,0,0,0,1,0,1,1,0
11,46,0,0,0,0,0,1,1,0
12,23,1,0,0,0,0,1,0,1
13,63,1,0,1,0,0,1,1,0
14,47,1,0,0,0,0,1,0,1
15,24,1,0,1,0,0,0,0,1
16,35,0,0,1,0,1,0,1,0
17,21,0,0,0,1,0,0,1,0
18,27,1,0,0,1,0,1,0,0
19,45,0,0,0,1,0,0,0,0
20,55,1,0,0,0,0,0,1,1
21,9,0,1,0,1,0,1,1,1
22,28,0,0,0,0,0,1,0,1
23,21,0,1,0,0,0,0,1,1
24,48,1,3,0,0,0,0,0,1
25,50,1,0,0,1,0,1,1,0
26,22,0,1,0,0,0,0,0,1
27,22.5,0,0,0,1,0,0,1,0
28,41,0,0,0,0,0,1,1,0
29,28,2,0,0,1,0,0,1,0
30,50,1,0,1,0,0,1,1,0
31,24,2,0,1,0,0,1,1,0
32,33,1,2,0,1,0,1,0,1
33,28,1,2,0,1,0,1,0,0
34,30,1,0,0,0,0,0,1,0
35,18.5,0,0,0,1,0,0,1,0
36,28,0,0,0,1,0,1,0,0
37,21,0,0,0,1,0,1,0,0
38,25,0,0,0,1,0,1,1,0
39,28,0,0,0,1,0,1,1,0
40,39,0,1,0,1,0,0,1,0
41,28,0,0,0,0,0,1,1,0
42,41,0,0,0,1,0,1,1,0
43,30,0,0,1,0,0,1,0,1
44,45,1,0,0,0,0,1,0,1
45,25,0,0,0,1,0,1,1,0
46,45,0,0,0,0,0,0,1,0
47,28,0,0,0,1,1,0,1,0
48,60,0,0,0,0,0,0,0,1
49,36,0,2,0,1,0,1,0,0
50,24,1,0,0,0,0,1,1,0
51,27,0,0,1,0,0,0,1,0
52,20,2,1,1,0,0,1,0,1
53,28,3,2,0,0,0,1,0,1
54,28,0,0,1,0,0,0,1,0
55,10,4,1,0,1,1,0,1,0
56,35,0,0,0,1,0,1,1,0
57,25,0,0,0,1,0,1,1,0
58,28,1,0,0,1,0,1,1,0
59,36,0,0,0,0,0,0,0,1
60,17,0,0,0,1,0,1,1,0
61,32,0,0,1,0,0,1,1,0
62,18,0,0,0,1,0,1,1,0
63,22,0,0,0,1,1,0,0,1
64,13,2,2,0,0,0,0,1,1
65,28,0,0,1,0,0,1,0,1
66,18,0,0,0,1,1,0,0,0
67,47,0,0,0,0,0,1,1,0
68,31,0,0,0,0,0,0,1,0
69,60,1,4,0,0,0,1,0,1
70,24,0,0,0,1,1,0,0,1
71,21,0,0,0,1,0,1,1,0
72,29,0,0,0,1,0,1,0,0
73,28.5,0,0,0,0,0,0,1,0
74,35,0,0,0,0,0,0,0,1
75,32.5,0,0,0,0,0,0,1,1
76,28,0,0,0,1,0,1,1,0
77,55,2,0,0,0,0,1,0,1
78,30,0,0,1,0,0,1,1,0
79,24,0,0,0,1,1,0,0,1
80,6,1,1,0,1,0,0,1,0
81,67,1,0,0,0,0,1,1,0
82,49,0,0,0,0,0,1,1,1
83,28,0,0,0,1,0,1,1,0
84,28,0,0,1,0,1,0,1,0
85,28,1,0,0,1,0,0,1,0
86,27,0,0,0,1,1,0,0,1
87,18,0,0,0,1,0,1,0,0
88,28,0,0,0,1,1,0,0,1
89,2,1,1,1,0,0,1,1,1
90,22,1,0,0,1,0,1,0,0
91,28,0,0,0,1,0,1,1,0
92,27,1,2,0,0,0,1,0,0
93,28,0,0,0,1,0,1,1,0
94,25,0,0,0,0,0,0,1,1
95,25,0,0,0,1,0,1,1,0
96,76,1,0,0,0,0,1,0,1
97,29,0,0,0,1,0,1,1,0
98,20,0,0,0,1,0,1,0,0
99,33,0,0,0,1,0,1,1,0
100,43,1,0,0,0,0,0,0,1
101,27,1,0,1,0,0,1,1,0
102,28,0,0,0,1,1,0,1,0
103,26,0,0,0,1,0,1,1,0
104,16,1,1,0,1,0,0,0,0
105,28,0,0,0,1,0,1,1,0
106,21,0,0,0,1,1,0,1,0
107,28,0,0,0,1,1,0,1,0
108,28,0,0,0,1,0,1,1,0
109,18.5,0,0,1,0,0,1,1,0
110,41,0,0,1,0,0,0,1,0
111,28,0,0,0,1,1,0,0,1
112,36,0,0,0,0,0,0,0,1
113,18.5,0,0,0,1,1,0,0,0
114,63,1,0,0,0,0,1,0,1
115,18,1,0,0,1,0,0,1,0
116,28,0,0,0,1,0,0,1,0
117,1,1,1,0,1,0,1,0,1
118,36,0,0,0,0,0,0,1,0
119,29,1,0,1,0,0,1,0,1
120,12,0,0,1,0,0,1,0,1
121,28,1,0,0,1,1,0,1,0
122,35,1,0,0,0,0,0,0,1
123,28,0,0,0,1,0,1,1,0
124,28,0,0,0,1,1,0,1,0
125,17,0,1,0,1,0,1,0,1
126,22,0,0,0,1,0,1,1,0
127,28,2,0,0,1,1,0,0,1
128,42,0,0,1,0,0,1,1,0
129,24,0,0,0,1,0,1,1,0
130,32,0,0,0,1,0,1,1,1
131,53,0,0,0,0,0,0,1,1
132,28,0,4,0,1,0,1,0,0
133,28,1,0,0,1,0,0,1,0
134,43,0,0,0,1,0,1,1,0
135,24,0,0,0,1,0,1,1,0
136,26.5,0,0,0,1,0,0,1,1
137,26,0,0,1,0,0,1,1,0
138,23,0,0,0,1,0,1,0,1
139,40,1,6,0,1,0,1,1,0
140,10,5,2,0,1,0,1,0,0
141,33,0,0,0,0,0,1,0,1
142,61,1,3,0,0,0,0,1,0
143,28,0,0,1,0,0,1,1,0
144,42,0,0,0,0,0,1,1,1
145,31,3,0,0,1,0,1,1,0
146,28,0,0,0,0,0,1,1,0
147,22,0,0,0,1,0,1,1,0
148,28,0,0,0,0,0,1,1,0
149,30,1,1,1,0,0,1,1,0
150,23,0,1,0,0,0,0,0,1
151,28,0,0,0,1,0,0,1,0
152,60.5,0,0,0,1,0,1,1,0
153,36,0,2,0,1,0,1,0,0
154,13,4,2,0,1,0,1,1,0
155,24,0,0,0,1,0,1,1,0
156,29,0,0,0,0,0,1,0,1
157,23,0,0,0,1,0,1,0,1
158,42,0,0,0,0,0,1,1,1
159,26,0,2,0,1,0,1,0,1
160,28,0,0,0,1,1,0,0,1
161,7,1,1,0,1,0,0,1,0
162,26,0,0,1,0,0,1,0,1
163,28,0,0,0,1,0,1,1,0
164,41,0,0,1,0,0,1,1,0
165,26,1,1,0,1,0,1,0,0
166,48,0,0,0,0,0,0,1,0
167,18,2,2,0,1,0,1,1,0
168,28,0,0,0,0,0,0,0,1
169,22,0,0,0,1,0,1,0,0
170,28,0,0,0,1,0,1,1,0
171,27,0,0,0,1,0,0,1,1
172,23,1,0,0,1,0,1,1,0
173,28,0,0,0,1,0,0,1,0
174,40,1,5,0,1,0,1,1,0
175,15,0,2,1,0,0,1,0,1
176,20,0,0,1,0,0,1,0,1
177,54,1,0,0,0,0,0,1,1
178,36,0,3,1,0,0,1,0,1
179,64,0,2,0,0,0,0,0,1
180,30,0,0,1,0,0,1,1,0
181,37,1,1,0,0,0,0,1,0
182,18,1,0,0,0,0,1,0,1
183,28,0,0,0,1,1,0,1,0
184,27,1,1,0,0,0,0,0,1
185,40,0,0,1,0,0,1,1,0
186,21,0,1,1,0,0,1,0,1
187,17,2,0,0,1,0,1,1,0
188,28,8,2,0,1,0,1,0,0
189,40,0,0,1,0,0,1,1,0
190,34,1,0,1,0,0,1,1,0
191,28,0,0,0,0,0,1,1,0
192,11.5,1,1,0,1,0,1,1,1
193,61,0,0,1,0,1,0,1,0
194,8,0,2,1,0,0,1,1,1
195,33,0,0,0,1,0,1,1,0
196,6,0,2,0,0,0,0,1,1
197,18,0,0,0,1,0,1,0,0
198,23,0,0,1,0,0,1,1,0
199,28,0,0,0,1,0,1,0,0
200,28,0,0,0,1,1,0,0,1
201,0.33,0,2,0,1,0,1,1,1
202,47,1,0,0,0,0,0,1,1
203,8,1,1,1,0,0,1,0,1
204,25,0,0,1,0,0,1,1,0
205,28,0,0,0,0,0,0,1,0
206,35,0,0,0,1,1,0,0,1
207,24,0,0,1,0,0,1,1,0
208,33,0,0,0,0,0,0,0,1
209,25,0,0,0,1,0,1,1,0
210,32,0,0,0,1,0,1,1,1
211,28,0,0,0,1,0,1,1,0
212,17,0,0,1,0,0,1,1,0
213,60,1,0,1,0,0,1,0,0
214,38,4,2,0,1,0,1,0,0
215,42,0,0,0,0,0,1,1,1
216,28,0,0,0,1,1,0,0,1
217,57,1,1,0,0,0,1,1,0
218,50,1,1,0,0,0,0,0,1
219,28,0,0,0,1,0,1,1,0
220,30,1,0,1,0,0,0,0,1
221,21,0,0,0,1,0,1,1,0
222,22,0,0,1,0,0,1,0,1
223,21,0,0,0,1,0,1,1,0
224,53,0,0,0,0,0,0,0,0
225,28,0,2,0,1,0,0,0,1
226,23,0,0,0,1,0,1,1,0
227,28,0,0,0,1,1,0,0,1
228,40.5,0,0,0,1,0,1,1,0
229,36,0,0,1,0,0,1,1,0
230,14,0,0,1,0,0,1,1,0
231,21,0,0,0,0,0,1,0,1
232,21,1,0,0,1,0,1,1,1
233,28,0,0,0,1,1,0,1,0
234,39,1,0,0,0,0,0,1,1
235,20,0,0,0,1,0,1,1,0
236,64,1,0,0,0,0,0,1,1
237,20,0,0,0,1,0,0,1,0
238,18,1,1,1,0,0,1,0,1
239,48,1,0,0,0,0,0,0,1
240,55,0,0,0,0,0,0,0,1
241,45,0,2,1,0,0,1,0,1
242,45,1,1,0,0,0,0,1,0
243,28,0,0,0,1,0,1,1,0
244,28,1,2,0,1,0,1,1,0
245,41,1,0,0,0,0,1,1,0
246,22,0,0,1,0,0,1,0,1
247,42,1,1,1,0,0,1,1,0
248,29,1,0,1,0,0,1,0,1
249,28,1,0,0,1,0,0,0,0
250,0.92,1,2,1,0,0,1,0,1
251,20,0,0,0,1,0,1,1,0
252,27,1,0,0,0,0,0,1,0
253,24,0,0,0,1,0,1,1,0
254,32.5,0,0,0,1,0,1,1,1
255,28,0,0,0,1,0,1,1,0
256,28,0,0,0,1,1,0,1,0
257,28,0,0,0,1,0,1,1,0
258,19,0,0,1,0,0,1,0,1
259,21,0,0,0,1,0,1,1,0
260,36.5,1,0,0,1,0,1,1,0
261,21,0,0,0,1,0,1,1,0
262,29,0,2,1,0,0,1,0,1
263,1,1,1,0,1,0,1,0,1
264,30,0,0,1,0,0,0,1,0
265,28,0,0,0,1,0,1,1,0
266,28,0,0,0,0,0,1,1,0
267,28,0,0,0,1,0,1,1,0
268,28,0,0,0,1,0,1,0,0
269,17,0,0,0,1,0,1,1,0
270,46,0,0,0,0,0,0,1,0
271,28,0,0,0,1,1,0,1,0
272,26,1,0,0,0,0,0,0,1
273,28,1,0,0,1,1,0,0,1
274,28,0,0,0,1,0,0,1,0
275,20,1,0,1,0,0,1,0,1
276,28,0,0,1,0,0,1,1,0
277,40,1,0,1,0,0,1,1,0
278,30,1,0,1,0,0,1,1,0
279,22,0,0,1,0,0,1,1,0
280,23,0,0,0,1,0,1,0,1
281,0.75,1,1,0,1,0,1,1,1
282,28,0,0,0,1,1,0,0,1
283,9,1,1,0,1,0,0,0,0
284,2,1,1,0,1,0,1,0,1
285,36,0,0,0,1,0,1,1,0
286,28,0,0,0,1,0,1,1,0
287,24,1,0,0,0,0,1,1,0
288,28,0,0,0,1,0,0,1,0
289,28,0,0,0,1,0,1,1,0
290,28,0,0,0,0,0,1,1,0
291,30,0,0,0,1,1,0,0,1
292,28,0,0,0,1,0,0,1,0
293,53,1,1,0,0,0,1,1,0
294,36,0,0,0,1,0,1,1,0
295,26,0,0,0,1,0,1,1,0
296,1,1,2,1,0,0,0,0,1
297,28,2,0,0,1,0,0,1,0
298,30,0,0,0,0,0,1,1,0
299,29,0,0,0,1,0,1,1,0
300,32,0,0,0,1,0,1,1,1
301,28,0,0,1,0,0,0,1,0
302,43,0,1,1,0,0,1,1,0
303,24,0,0,0,1,0,1,1,0
304,28,0,0,0,1,1,0,0,1
305,64,1,1,0,0,0,1,0,1
306,30,1,2,0,0,0,1,1,1
307,0.83,0,1,0,1,0,1,1,1
308,55,1,1,0,0,0,1,1,0
309,45,1,0,0,1,0,1,0,0
310,18,0,0,0,1,0,1,1,0
311,22,0,0,0,1,0,0,1,0
312,28,0,0,0,1,0,1,1,0
313,37,0,0,0,1,1,0,0,1
314,55,0,0,0,0,0,0,0,1
315,17,0,0,0,1,1,0,0,1
316,57,1,0,0,0,0,0,1,1
317,19,0,0,1,0,0,1,1,0
318,27,0,0,0,1,0,1,1,1
319,22,2,0,1,0,0,1,1,0
320,26,0,0,0,1,0,1,1,0
321,25,0,0,0,1,0,0,1,1
322,26,0,0,1,0,0,1,1,0
323,33,0,0,0,0,0,1,1,0
324,39,0,0,0,0,0,1,0,1
325,23,0,0,0,1,0,1,1,0
326,12,2,1,1,0,0,1,0,1
327,46,0,0,0,0,0,0,1,0
328,29,1,0,1,0,0,1,1,0
329,21,0,0,1,0,0,1,1,0
330,48,0,2,1,0,0,1,0,1
331,39,0,0,0,0,0,0,1,0
332,28,0,0,0,1,0,0,1,0
333,19,1,1,0,1,0,0,0,0
334,27,0,0,0,1,0,1,1,1
335,30,0,0,0,0,0,1,1,0
336,32,0,0,1,0,0,1,1,0
337,39,0,2,0,1,0,0,1,0
338,25,0,0,1,0,0,1,1,0
339,28,0,0,0,1,0,0,1,0
340,18,0,0,1,0,0,1,1,0
341,32,0,0,0,1,0,1,1,1
342,28,1,9,0,1,0,1,1,0
343,58,0,1,0,0,0,0,0,1
344,28,1,1,0,1,0,1,1,0
345,16,0,0,0,1,0,1,0,0
346,26,0,0,1,0,0,1,1,0
347,38,0,0,0,1,0,0,0,1
348,24,0,0,1,0,0,1,1,0
349,31,0,0,1,0,0,1,0,1
350,45,0,1,0,0,0,0,0,1
351,25,0,0,1,0,0,1,1,0
352,18,0,0,1,0,0,1,1,0
353,49,1,2,1,0,0,1,1,0
354,0.17,1,2,0,1,0,1,0,1
355,50,0,0,0,0,0,1,1,1
356,59,2,0,0,0,0,1,0,1
357,28,0,0,0,1,0,1,1,0
358,28,0,0,0,1,1,0,1,0
359,30,1,0,0,1,0,1,0,0
360,14.5,8,2,0,1,0,1,1,0
361,24,1,1,1,0,0,0,0,1
362,31,0,0,1,0,0,1,0,1
363,27,0,0,0,1,0,1,1,1
364,25,1,0,0,0,0,0,0,1
365,28,1,9,0,1,0,1,0,0
366,28,1,0,0,1,0,0,1,0
367,22,0,0,0,1,0,1,0,0
368,45,0,1,0,0,0,0,0,1
369,29,0,0,1,0,0,0,1,0
370,21,1,0,1,0,0,1,1,0
371,31,0,0,0,0,0,0,0,1
372,49,0,0,0,0,0,1,1,1
373,44,0,0,1,0,0,1,1,0
374,54,1,1,0,0,0,1,0,1
375,45,0,0,0,0,0,0,0,1
376,22,2,0,0,1,0,1,0,0
377,21,0,0,1,0,0,1,1,0
378,55,0,0,0,0,0,1,1,0
379,5,4,2,0,1,0,1,1,0
380,28,0,0,0,1,1,0,1,0
381,26,0,0,0,1,1,0,1,0
382,28,0,0,0,1,0,1,0,0
383,19,1,0,0,1,0,1,0,1
384,28,0,0,1,0,0,1,1,0
385,24,1,2,1,0,0,1,0,1
386,24,0,0,0,1,0,1,1,0
387,57,0,0,1,0,0,1,1,0
388,21,0,0,0,1,1,0,1,0
389,6,3,1,0,1,0,1,1,0
390,23,0,0,0,0,0,1,1,1
391,51,0,1,0,0,0,1,0,1
392,13,0,2,0,1,0,1,1,0
393,47,0,0,1,0,0,1,1,0
394,29,3,1,0,1,0,1,1,0
395,18,1,0,0,0,0,1,0,1
396,24,0,0,0,1,1,0,1,0
397,48,1,1,0,0,0,0,0,1
398,22,0,0,0,1,0,1,1,0
399,31,0,0,0,1,1,0,1,0
400,30,0,0,0,0,0,1,0,1
401,38,1,0,1,0,0,1,1,0
402,22,0,1,0,0,0,0,0,1
403,17,0,0,0,0,0,1,1,1
404,43,1,0,0,0,0,0,1,1
405,20,0,0,1,0,0,0,1,0
406,23,1,0,1,0,0,1,1,0
407,50,1,1,0,0,0,0,1,0
408,28,0,0,0,1,1,0,0,1
409,3,1,1,0,1,0,1,0,1
410,28,0,0,0,1,1,0,0,1
411,37,1,0,0,0,1,0,0,1
412,28,0,0,0,1,0,1,0,0
413,28,0,0,0,1,0,1,1,0
414,39,0,0,0,0,0,0,0,1
415,38.5,0,0,0,1,0,1,1,0
416,28,0,0,0,1,0,1,1,0
417,28,1,1,0,1,0,0,1,1
